url,tittel
"/en/forskning/ansatte/hanne-marit-dalen",Hanne Marit Dalen
"/en/omssb/om-oss/organisasjonskart/kommunikasjon/herborg-bryn",Herborg Bryn
"/en/forskning/discussion-papers/is-the-relationship-between-schooling-and-disability-pension-receipt-causal",Is the relationship between schooling and disability pension receipt causal?
"/en/omssb/lover-og-prinsipper/formidlingspolitikk",Principles of communication and dissemination
"/en/omssb/samarbeid/internasjonalt-statistikksamarbeid/br-tender-announcement",International statistical cooperation
"/forskning/energi-og-miljookonomi/klimapolitikk-og-okonomi/kutt-i-oljeproduksjonen-er-effektiv-klimapolitikk",Kutt i oljeproduksjonen er effektiv klimapolitikk
"/priser-og-prisindekser/artikler-og-publikasjoner/norge-har-europas-hoeyeste-matvarepriser",Norge har Europas høyeste matvarepriser
"/priser-og-prisindekser/artikler-og-publikasjoner/norge-har-europas-hoeyeste-matvarepriser?tabell=125341",Norge har Europas høyeste matvarepriser - Konsumandel matvarer og alkoholfrie drikkevarer i forhold til totalt husholdningskonsum.Prosent. Utvalgte land. 2011
"/priser-og-prisindekser/artikler-og-publikasjoner/norge-har-europas-hoeyeste-matvarepriser?tabell=125342",Norge har Europas høyeste matvarepriser - Konsumandel matvarer og alkoholfrie drikkevarer i forhold til totalt husholdningskonsum.Prosent. Norge 1995-2011.
"/priser-og-prisindekser/artikler-og-publikasjoner/norge-har-europas-hoeyeste-matvarepriser?tabell=125039","Norge har Europas høyeste matvarepriser - Detaljerte prisnivåindekser for matvarer, drikkevarer og tobakk. 2012. EU27=100- SSB"
"/priser-og-prisindekser/artikler-og-publikasjoner/norge-har-europas-hoeyeste-matvarepriser?tabell=125033",Norge har Europas høyeste matvarepriser - Prisnivå for utvalgte varegrupper og land. 2012. EU27=100
"/inntekt-og-forbruk/artikler-og-publikasjoner/inntektsstatistikk-for-den-eldre-befolkningen-2011",Inntektsstatistikk for den eldre befolkningen 2011
"/jord-skog-jakt-og-fiskeri/artikler-og-publikasjoner/arrondering-av-jordbruksareal",Arrondering av jordbruksareal
"/inntekt-og-forbruk/artikler-og-publikasjoner/hoy-inntekt-blant-yngre-alderspensjonister",Høy inntekt blant yngre alderspensjonister
"/omssb/tjenester-og-verktoy/statistikk-paa-oppdrag/datainnsamling-oppdrag/grunndatabegrepet-og-om-oppdateringen-av-vof",Grunndatabegrepet og om oppdateringen av VoF
"/omssb/tjenester-og-verktoy/statistikk-paa-oppdrag/datainnsamling-oppdrag/utlevering-av-individdata-fra-virksomhets-og-foretaksregisteret",Utlevering av individdata fra Virksomhets- og foretaksregisteret
"/omssb/samarbeid/internasjonalt-statistikksamarbeid/det-europeiske-statistiske-system",Det europeiske statistiske system
"/offentlig-sektor/artikler-og-publikasjoner/skattesystemets-omfordelende-effekt-2005-2013",Skattesystemets omfordelende effekt 2005-2013
"/en/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/cyclical-developments-in-norway-2-2013",Economic Survey 2-2013
"/utdanning/artikler-og-publikasjoner/undersoking-om-foreldrebetaling-i-barnehagar-januar-2013","Undersøking om foreldrebetaling i barnehagar, januar 2013"
"/forskning/ansatte/astri-syse",Astri Syse
"/en/forskning/ansatte/astri-syse",Astri Syse
"/forskning/mikrookonomi/arbeidsmarked/evaluering-av-arbeidsmarkedssatsning",Evaluering av arbeidsmarkedssatsning
"/en/innrapportering/personer-og-husholdning/fob2011",Population and housing census 2011
"/helse/artikler-og-publikasjoner/eldres-bruk-av-helse-og-omsorgstjenester",Eldres bruk av helse- og omsorgstjenester
"/nasjonalregnskap-og-konjunkturer/artikler-og-publikasjoner/lavere-gjeldsopptak-ga-positive-nettofinansinvesteringer",Lavere gjeldsopptak ga positive nettofinansinvesteringer
"/forskning/energi-og-miljookonomi/baerekraftig-utvikling/indikatorer-for-bærekraftig-utvikling-og-føre-var-prinsippet",Indikatorer for bærekraftig utvikling og føre-var-prinsippet
"/en/omssb/om-oss/vaar-virksomhet/planer-og-meldinger?index=20",Plans and reports
"/forskning/mikrookonomi/arbeidsmarked/virkninger-av-bedriftsnedbemanning",Virkninger av bedriftsnedbemanning
"/en/forskning/demografi-og-levekaar/fruktbarhet-og-familiedemografi/gender-and-partnership-dynamics",Gender and partnership dynamics
"/utdanning/artikler-og-publikasjoner/flere-voksne-deltar-pa-utdanning-og-opplaering",Flere voksne deltar på utdanning og opplæring
"/en/forskning/mikrookonomi/arbeidsmarked/mobilizing-unutilised-labour-reserves-the-role-of-part-time-work-and-extended-employment-interruptions",Mobilizing unutilised labour reserves: the role of part-time work and extended employment interruptions
